Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0398421019416446,-4.32564189552617E-05,-1.48514635881769E-05,0,0,0,0.0848757789777957,3.63171215506554E-05,1.10722378083938E-07,4.05900756811043E-08,8.07037822008396E-05,5.45259939296919E-11,8.04730937818987E-05,0,0,0,0,0,0,package://tmF06/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://tmF06/meshes/base_link.STL,,CF90103010-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
AKE,0.0914651645111982,0.000479455366529743,-0.00189335285915867,0,0,0,0.0590242532705572,3.18527095100942E-05,1.72512364360481E-07,3.91248939799136E-07,2.87397645096793E-05,-5.45619982968746E-08,2.48658577044853E-05,0,0,0,0,0,0,package://tmF06/meshes/AKE.STL,0.741176470588235,0.741176470588235,0.741176470588235,1,0,0,0,0,0,0,package://tmF06/meshes/AKE.STL,,AKE-25(-AM)(預設-_flexible1)-1/AKE-25(-AM)-01-1,Origin_global,Axis_AKE,AKE,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
TMF_J1,-0.0161973112050794,0.0728866304639082,-0.0199346346390931,0,0,0,1.64416195967455,0.00792270442132492,-1.00267916514695E-05,-1.08513569422948E-05,0.00932926621899306,-0.00238885375918226,0.00893650238669853,0,0,0,0,0,0,package://tmF06/meshes/TMF_J1.STL,0.741176470588235,0.741176470588235,0.741176470588235,1,0,0,0,0,0,0,package://tmF06/meshes/TMF_J1.STL,,AKE-25(-AM)(預設-_flexible1)-1/AKE-25(-AM)-02-1;CF90103020-1;PGC140-50-W-S-_指尖-2022V1-20220621-1/body_1-1;120X200海綿吸盤-1;CF90103030-1,座標系統2,基準軸1,TMF_J1,revolute,0.104,-0.01635,0,1.5708,0,-1.5708,AKE,1,0,0,0,0,-90,90,,,,,,,,
L_F,0.0306095757679273,-0.0018400275611248,0.0199514762241413,0,0,0,0.00789862123633928,1.56971031786536E-06,-5.6403999208589E-08,-3.72182514535903E-08,1.38355549710685E-06,-2.21491316849311E-07,4.23330248245995E-07,0,0,0,0,0,0,package://tmF06/meshes/L_F.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://tmF06/meshes/L_F.STL,,PGC140-50-W-S-_指尖-2022V1-20220621-1/finger-1,座標系統3,基準軸2,L_joint,prismatic,-0.01635,0,-0.1445,-3.1416,0,-3.1416,TMF_J1,1,0,0,0,0,0,0.03,,,,,,,,
R_F,-0.0306095757679276,0.00184002756112005,0.0199514762241417,0,0,0,0.00789862123633926,1.56971031786536E-06,-5.64039992085986E-08,3.72182514535738E-08,1.38355549710674E-06,2.21491316849565E-07,4.23330248246111E-07,0,0,0,0,0,0,package://tmF06/meshes/R_F.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://tmF06/meshes/R_F.STL,,PGC140-50-W-S-_指尖-2022V1-20220621-1/finger-2,座標系統3,基準軸2,R_joint,prismatic,-0.01635,0,-0.1445,-3.1416,0,-3.1416,TMF_J1,1,0,0,0,0,-0.03,0,,,,,,,,
